district,year,month,rainfall,season
Adilabad,2019.0,4.0,151.5,Zaid
Adilabad,2019.0,5.0,42.5,Zaid
Adilabad,2019.0,6.0,2473.5,Kharif
Bhadradri-Kothagudem,2019.0,4.0,286.1,Zaid
Bhadradri-Kothagudem,2019.0,5.0,658.9,Zaid
Bhadradri-Kothagudem,2019.0,6.0,1442.1,Kharif
Hyderabad,2019.0,4.0,1687.5,Zaid
Hyderabad,2019.0,5.0,369.1,Zaid
Hyderabad,2019.0,6.0,1459.6,Kharif
Jagtial,2019.0,4.0,126.7,Zaid
Jagtial,2019.0,5.0,77.4,Zaid
Jagtial,2019.0,6.0,2601.0,Kharif
Jangaon,2019.0,4.0,829.0,Zaid
Jangaon,2019.0,5.0,260.3,Zaid
Jangaon,2019.0,6.0,1112.5,Kharif
Jayashankar-Bhupalpally,2019.0,4.0,298.3,Zaid
Jayashankar-Bhupalpally,2019.0,5.0,280.1,Zaid
Jayashankar-Bhupalpally,2019.0,6.0,956.8,Kharif
Jogulamba-Gadwal,2019.0,4.0,73.1,Zaid
Jogulamba-Gadwal,2019.0,5.0,485.9,Zaid
Jogulamba-Gadwal,2019.0,6.0,612.6,Kharif
Kamareddy,2019.0,4.0,95.8,Zaid
Kamareddy,2019.0,5.0,137.8,Zaid
Kamareddy,2019.0,6.0,2792.5,Kharif
Karimnagar,2019.0,4.0,250.0,Zaid
Karimnagar,2019.0,5.0,170.8,Zaid
Karimnagar,2019.0,6.0,1372.5,Kharif
Khammam,2019.0,4.0,409.2,Zaid
Khammam,2019.0,5.0,1329.5,Zaid
Khammam,2019.0,6.0,914.6,Kharif
Kumuram Bheem - Asifabad,2019.0,4.0,197.3,Zaid
Kumuram Bheem - Asifabad,2019.0,5.0,83.5,Zaid
Kumuram Bheem - Asifabad,2019.0,6.0,1985.7,Kharif
Mahabubabad,2019.0,4.0,216.3,Zaid
Mahabubabad,2019.0,5.0,404.7,Zaid
Mahabubabad,2019.0,6.0,1025.6,Kharif
Mahabubnagar,2019.0,4.0,311.3,Zaid
Mahabubnagar,2019.0,5.0,616.0,Zaid
Mahabubnagar,2019.0,6.0,1243.1,Kharif
Mancherial,2019.0,4.0,192.6,Zaid
Mancherial,2019.0,5.0,96.0,Zaid
Mancherial,2019.0,6.0,1491.5,Kharif
Medak,2019.0,4.0,195.1,Zaid
Medak,2019.0,5.0,449.5,Zaid
Medak,2019.0,6.0,2268.2,Kharif
Medchal-Malkajgiri,2019.0,4.0,945.5,Zaid
Medchal-Malkajgiri,2019.0,5.0,710.1,Zaid
Medchal-Malkajgiri,2019.0,6.0,1257.1,Kharif
Mulug,2019.0,6.0,636.3000000000001,Kharif
Nagarkurnool,2019.0,4.0,441.2,Zaid
Nagarkurnool,2019.0,5.0,723.1,Zaid
Nagarkurnool,2019.0,6.0,1676.9,Kharif
Nalgonda,2019.0,4.0,988.4,Zaid
Nalgonda,2019.0,5.0,250.8,Zaid
Nalgonda,2019.0,6.0,1296.4,Kharif
Narayanpet,2019.0,6.0,686.3,Kharif
Nirmal,2019.0,4.0,167.1,Zaid
Nirmal,2019.0,5.0,26.099999999999998,Zaid
Nirmal,2019.0,6.0,2226.2,Kharif
Nizamabad,2019.0,4.0,95.6,Zaid
Nizamabad,2019.0,5.0,119.6,Zaid
Nizamabad,2019.0,6.0,2930.7,Kharif
Peddapalli,2019.0,4.0,201.9,Zaid
Peddapalli,2019.0,5.0,51.5,Zaid
Peddapalli,2019.0,6.0,1535.0,Kharif
Rajanna-Siricilla,2019.0,4.0,171.1,Zaid
Rajanna-Siricilla,2019.0,5.0,90.1,Zaid
Rajanna-Siricilla,2019.0,6.0,1194.4,Kharif
Rangareddy,2019.0,4.0,1856.8,Zaid
Rangareddy,2019.0,5.0,773.9,Zaid
Rangareddy,2019.0,6.0,2464.1,Kharif
Sangareddy,2019.0,4.0,458.6,Zaid
Sangareddy,2019.0,5.0,488.9,Zaid
Sangareddy,2019.0,6.0,2721.5,Kharif
Siddipet,2019.0,4.0,782.9,Zaid
Siddipet,2019.0,5.0,265.2,Zaid
Siddipet,2019.0,6.0,2123.3,Kharif
Suryapet,2019.0,4.0,264.6,Zaid
Suryapet,2019.0,5.0,334.5,Zaid
Suryapet,2019.0,6.0,1066.6,Kharif
Vikarabad,2019.0,4.0,383.6,Zaid
Vikarabad,2019.0,5.0,583.6,Zaid
Vikarabad,2019.0,6.0,1695.6000000000001,Kharif
Wanaparthy,2019.0,4.0,93.0,Zaid
Wanaparthy,2019.0,5.0,297.8,Zaid
Wanaparthy,2019.0,6.0,754.4,Kharif
Warangal (R),2019.0,4.0,381.7,Zaid
Warangal (R),2019.0,5.0,192.9,Zaid
Warangal (R),2019.0,6.0,1337.6,Kharif
Warangal (U),2019.0,4.0,444.3,Zaid
Warangal (U),2019.0,5.0,72.0,Zaid
Warangal (U),2019.0,6.0,996.7,Kharif
Yadadri-Bhongir,2019.0,4.0,445.2,Zaid
Yadadri-Bhongir,2019.0,5.0,181.9,Zaid
Yadadri-Bhongir,2019.0,6.0,960.3,Kharif
Adilabad,2020.0,1.0,446.1,Rabi
Adilabad,2020.0,2.0,70.1,Rabi
Adilabad,2020.0,3.0,600.9,Zaid
Bhadradri-Kothagudem,2020.0,1.0,66.2,Rabi
Bhadradri-Kothagudem,2020.0,2.0,29.7,Rabi
Bhadradri-Kothagudem,2020.0,3.0,330.3,Zaid
Hyderabad,2020.0,1.0,229.2,Rabi
Hyderabad,2020.0,2.0,63.5,Rabi
Hyderabad,2020.0,3.0,202.0,Zaid
Jagtial,2020.0,1.0,193.0,Rabi
Jagtial,2020.0,2.0,249.6,Rabi
Jagtial,2020.0,3.0,131.70000000000002,Zaid
Jangaon,2020.0,1.0,0.5,Rabi
Jangaon,2020.0,2.0,160.9,Rabi
Jangaon,2020.0,3.0,144.0,Zaid
Jayashankar-Bhupalpally,2020.0,1.0,21.3,Rabi
Jayashankar-Bhupalpally,2020.0,2.0,376.2,Rabi
Jayashankar-Bhupalpally,2020.0,3.0,128.4,Zaid
Jogulamba-Gadwal,2020.0,1.0,2.0,Rabi
Jogulamba-Gadwal,2020.0,2.0,1.0,Rabi
Jogulamba-Gadwal,2020.0,3.0,30.2,Zaid
Kamareddy,2020.0,1.0,276.1,Rabi
Kamareddy,2020.0,2.0,242.10000000000002,Rabi
Kamareddy,2020.0,3.0,663.4,Zaid
Karimnagar,2020.0,1.0,81.0,Rabi
Karimnagar,2020.0,2.0,254.79999999999998,Rabi
Karimnagar,2020.0,3.0,336.0,Zaid
Khammam,2020.0,1.0,53.4,Rabi
Khammam,2020.0,2.0,116.99999999999999,Rabi
Khammam,2020.0,3.0,202.0,Zaid
Kumuram Bheem,2020.0,1.0,219.4,Rabi
Kumuram Bheem,2020.0,2.0,148.4,Rabi
Kumuram Bheem,2020.0,3.0,632.3,Zaid
Mahabubabad,2020.0,1.0,12.3,Rabi
Mahabubabad,2020.0,2.0,162.4,Rabi
Mahabubabad,2020.0,3.0,40.2,Zaid
Mahabubnagar,2020.0,1.0,168.9,Rabi
Mahabubnagar,2020.0,2.0,13.7,Rabi
Mahabubnagar,2020.0,3.0,51.9,Zaid
Mancherial,2020.0,1.0,147.1,Rabi
Mancherial,2020.0,2.0,391.3,Rabi
Mancherial,2020.0,3.0,139.8,Zaid
Medak,2020.0,1.0,21.0,Rabi
Medak,2020.0,2.0,178.4,Rabi
Medak,2020.0,3.0,426.1,Zaid
Medchal-Malkajgiri,2020.0,1.0,128.2,Rabi
Medchal-Malkajgiri,2020.0,2.0,69.0,Rabi
Medchal-Malkajgiri,2020.0,3.0,149.9,Zaid
Mulugu,2020.0,1.0,41.1,Rabi
Mulugu,2020.0,2.0,281.3,Rabi
Mulugu,2020.0,3.0,51.400000000000006,Zaid
Nagarkurnool,2020.0,1.0,71.0,Rabi
Nagarkurnool,2020.0,2.0,34.3,Rabi
Nagarkurnool,2020.0,3.0,27.4,Zaid
Nalgonda,2020.0,1.0,205.2,Rabi
Nalgonda,2020.0,2.0,363.8,Rabi
Nalgonda,2020.0,3.0,528.8,Zaid
Narayanpet,2020.0,1.0,129.2,Rabi
Narayanpet,2020.0,2.0,0.0,Rabi
Narayanpet,2020.0,3.0,61.0,Zaid
Nirmal,2020.0,1.0,214.8,Rabi
Nirmal,2020.0,2.0,75.8,Rabi
Nirmal,2020.0,3.0,112.6,Zaid
Nizamabad,2020.0,1.0,526.7,Rabi
Nizamabad,2020.0,2.0,23.5,Rabi
Nizamabad,2020.0,3.0,311.5,Zaid
Peddapalli,2020.0,1.0,106.2,Rabi
Peddapalli,2020.0,2.0,198.0,Rabi
Peddapalli,2020.0,3.0,173.9,Zaid
Rajanna-Siricilla,2020.0,1.0,121.2,Rabi
Rajanna-Siricilla,2020.0,2.0,247.5,Rabi
Rajanna-Siricilla,2020.0,3.0,389.9,Zaid
Rangareddy,2020.0,1.0,87.3,Rabi
Rangareddy,2020.0,2.0,41.6,Rabi
Rangareddy,2020.0,3.0,199.4,Zaid
Sangareddy,2020.0,1.0,30.0,Rabi
Sangareddy,2020.0,2.0,39.9,Rabi
Sangareddy,2020.0,3.0,193.6,Zaid
Siddipet,2020.0,1.0,27.9,Rabi
Siddipet,2020.0,2.0,201.8,Rabi
Siddipet,2020.0,3.0,666.4,Zaid
Suryapet,2020.0,1.0,78.5,Rabi
Suryapet,2020.0,2.0,272.1,Rabi
Suryapet,2020.0,3.0,321.0,Zaid
Vikarabad,2020.0,1.0,28.2,Rabi
Vikarabad,2020.0,2.0,2.1,Rabi
Vikarabad,2020.0,3.0,27.2,Zaid
Wanaparthy,2020.0,1.0,13.399999999999999,Rabi
Wanaparthy,2020.0,2.0,22.5,Rabi
Wanaparthy,2020.0,3.0,57.1,Zaid
Warangal Rural,2020.0,1.0,5.2,Rabi
Warangal Rural,2020.0,2.0,159.7,Rabi
Warangal Rural,2020.0,3.0,169.4,Zaid
Warangal Urban,2020.0,1.0,2.0999999999999996,Rabi
Warangal Urban,2020.0,2.0,190.9,Rabi
Warangal Urban,2020.0,3.0,283.0,Zaid
Yadadri-Bhongir,2020.0,1.0,9.7,Rabi
Yadadri-Bhongir,2020.0,2.0,123.4,Rabi
Yadadri-Bhongir,2020.0,3.0,442.6,Zaid
Adilabad,2019.0,7.0,6482.9,Kharif
Adilabad,2019.0,8.0,4594.4,Kharif
Adilabad,2019.0,9.0,1347.7,Kharif
